t,test,Phase,Marqueur,BF,V'O2,V'CO2,V'O2/kg,V'O2/FC,FC,TT,V'E/V'O2,V'E/V'CO2,RER,V'E,VT,SpO2,VE'max,VD(est),FECO2,FEO2,P(A-a)O2,P(a-et) CO2(est.),PaCO2(est.),PaO2,PetO2,PetCO2,tE,tI,VD/VT(est),V'E/MVV,VB (est. V'O2max),DE,EE/BSA,EE/CT,EE/kg,EE/kg_Lean
"0:00:06,320",FTP20,Exercice,,24,2.02,1.85,22,22,93,-,28.2,30.8,0.92,61.0,2.56,-,3.3,364,3.8,16.5,-,-4,33,-,105,37,1.7,0.8,0.14,0.35,212.8,594,280,-,7,7
"0:00:07,300",FTP20,Exercice,,57,1.54,1.40,17,16,94,-,27.5,30.3,0.91,52.0,0.92,-,3.3,128,3.8,16.7,-,0,34,-,110,34,0.6,0.5,0.14,0.30,179.2,452,213,-,5,5
"0:00:08,360",FTP20,Exercice,,27,1.67,1.54,18,18,94,-,29.6,32.2,0.92,54.1,1.98,-,3.3,371,3.8,16.9,-,-2,34,-,110,36,1.5,0.7,0.19,0.31,188.4,492,231,-,5,5
"0:00:10,560",FTP20,Exercice,,28,1.68,1.55,18,18,94,-,29.6,32.2,0.92,54.6,1.98,-,2.7,371,3.7,16.9,-,-2,34,-,110,36,1.4,0.8,0.19,0.31,189.4,497,233,-,5,5
"0:00:16,120",FTP20,Exercice,,28,1.70,1.58,19,18,94,-,29.5,31.7,0.93,55.0,2.00,-,2.6,328,3.7,17.0,-,-2,33,-,110,35,1.4,0.8,0.16,0.31,190.8,504,237,-,6,6
"0:00:18,300",FTP20,Exercice,,28,1.68,1.55,18,18,94,-,29.6,32.2,0.92,54.6,1.98,-,2.4,348,3.7,17.1,-,-2,33,-,110,35,1.4,0.8,0.18,0.31,189.4,497,234,-,5,5
"0:00:20,360",FTP20,Exercice,,27,1.69,1.57,19,18,93,-,29.5,31.7,0.93,54.5,2.00,-,2.4,351,3.7,17.1,-,-2,34,-,110,36,1.4,0.8,0.18,0.31,191.8,499,235,-,5,5
"0:00:22,540",FTP20,Exercice,,27,1.67,1.56,18,18,92,-,29.5,31.7,0.93,54.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.5,0.8,0.18,0.31,192.7,494,232,-,5,5
"0:00:24,760",FTP20,Exercice,,27,1.67,1.56,18,18,91,-,29.5,31.7,0.93,54.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.4,0.9,0.18,0.31,194.9,494,232,-,5,5
"0:00:27,280",FTP20,Exercice,,28,1.70,1.58,19,19,91,-,29.5,31.7,0.93,55.0,2.00,-,2.4,354,3.7,17.0,-,-2,34,-,109,36,1.4,0.8,0.18,0.31,197.0,503,237,-,6,6
"0:00:30,380",FTP20,Exercice,,27,1.80,1.63,20,20,89,-,28.3,31.3,0.91,55.7,2.06,-,2.4,337,3.7,17.0,-,-2,34,-,109,36,1.4,0.8,0.16,0.32,208.5,530,249,-,6,6
"0:00:32,700",FTP20,Exercice,,27,1.67,1.56,18,19,89,-,29.5,31.7,0.93,54.0,2.00,-,2.1,354,3.7,17.1,-,-2,34,-,109,36,1.4,0.8,0.18,0.31,199.3,494,232,-,5,5
"0:00:34,200",FTP20,Exercice,,27,1.67,1.55,18,19,89,-,29.5,31.8,0.93,54.0,2.00,-,2.1,368,3.8,16.7,-,-2,34,-,109,36,1.4,0.8,0.18,0.31,199.3,494,232,-,5,5
"0:00:36,360",FTP20,Exercice,,28,1.61,1.48,18,18,89,-,28.2,30.7,0.92,50.1,1.81,-,2.1,301,3.8,16.7,-,-2,34,-,109,36,1.3,0.8,0.17,0.29,194.5,474,223,-,5,5
"0:00:40,300",FTP20,Exercice,,28,2.12,1.80,23,24,89,-,24.3,28.6,0.85,56.2,2.02,-,2.2,206,3.9,16.7,-,-2,34,-,109,36,1.3,0.8,0.10,0.32,228.4,614,289,-,7,7
"0:00:41,100",FTP20,Exercice,,29,1.65,1.53,18,19,89,-,29.1,31.4,0.93,52.9,1.85,-,2.2,321,3.8,16.8,-,-2,34,-,109,36,1.3,0.8,0.17,0.30,197.7,488,229,-,5,5
"0:00:42,840",FTP20,Exercice,,29,1.65,1.53,18,19,89,-,29.1,31.4,0.93,52.9,1.85,-,2.2,324,3.8,16.8,-,-2,34,-,109,36,1.3,0.8,0.17,0.30,197.7,488,229,-,5,5
"0:00:44,660",FTP20,Exercice,,28,1.72,1.62,19,20,88,-,28.9,30.6,0.94,54.4,1.96,-,2.2,301,3.8,16.8,-,-2,34,-,109,36,1.3,0.8,0.15,0.31,204.9,510,240,-,6,6
"0:00:47,440",FTP20,Exercice,,27,1.53,1.42,17,17,88,-,29.1,31.4,0.93,49.2,1.85,-,2.2,324,3.8,16.9,-,-2,34,-,109,36,1.3,0.8,0.17,0.28,191.0,453,213,-,5,5
"0:00:49,540",FTP20,Exercice,,27,1.40,1.25,15,16,88,-,27.0,30.3,0.89,42.4,1.60,-,2.2,253,3.8,16.9,-,-1,35,-,109,36,1.3,0.8,0.16,0.24,180.5,411,193,-,5,5
"0:00:51,800",FTP20,Exercice,,27,1.53,1.42,17,17,88,-,29.1,31.4,0.93,49.2,1.85,-,2.2,337,3.8,16.9,-,-2,34,-,109,36,1.5,0.8,0.18,0.28,191.0,453,213,-,5,5
"0:00:54,060",FTP20,Exercice,,26,1.40,1.24,15,16,89,-,27.0,30.3,0.89,42.2,1.60,-,2.2,264,3.8,16.9,-,-1,35,-,109,36,1.5,0.8,0.17,0.24,178.0,409,192,-,4,4
"0:00:56,420",FTP20,Exercice,,26,1.40,1.24,15,16,89,-,26.7,30.1,0.89,41.9,1.59,-,2.0,285,3.8,16.9,-,-2,36,-,109,37,1.8,0.8,0.18,0.24,178.3,410,193,-,4,4
"0:00:59,740",FTP20,Exercice,,26,1.40,1.24,15,16,88,-,26.7,30.1,0.89,41.9,1.59,-,1.7,285,3.8,16.9,-,-2,36,-,108,37,1.8,0.8,0.18,0.24,180.3,410,193,-,4,4
"0:01:04,460",FTP20,Exercice,,25,1.34,1.19,15,15,89,-,26.8,30.1,0.89,40.3,1.59,-,1.7,289,3.8,16.8,-,-2,36,-,103,38,1.9,0.6,0.18,0.23,173.4,393,185,-,4,4
"0:01:06,740",FTP20,Exercice,,25,1.51,1.27,17,17,89,-,25.3,30.3,0.84,42.7,1.68,-,1.7,307,3.8,16.4,-,-2,36,-,103,38,1.9,0.6,0.18,0.24,187.2,437,205,-,5,5
"0:01:08,900",FTP20,Exercice,,25,1.51,1.27,17,17,89,-,25.3,30.3,0.84,42.7,1.68,-,1.7,307,3.8,16.4,-,-2,36,-,103,38,1.9,0.6,0.18,0.24,187.2,437,205,-,5,5
"0:01:12,300",FTP20,Exercice,,26,1.74,1.66,19,20,89,-,30.8,32.3,0.95,58.1,2.21,-,2.5,466,3.8,16.4,-,-3,35,-,103,38,1.9,0.6,0.21,0.33,204.0,517,243,-,6,6
"0:01:16,440",FTP20,Exercice,,26,1.74,1.66,19,20,89,-,30.8,32.3,0.95,58.1,2.21,-,2.5,460,3.7,16.4,-,-3,35,-,103,37,1.8,0.6,0.21,0.33,204.0,517,243,-,6,6
"0:01:18,720",FTP20,Exercice,,26,1.57,1.52,17,18,89,-,30.9,32.0,0.96,53.1,2.01,-,2.5,412,3.7,16.8,-,-2,35,-,105,37,1.5,0.5,0.21,0.30,192.0,469,221,-,5,5
"0:01:20,780",FTP20,Exercice,,26,1.60,1.51,17,18,89,-,30.3,32.0,0.95,52.9,2.01,-,2.5,412,3.7,16.5,-,-2,35,-,105,37,1.5,0.5,0.21,0.30,193.6,474,223,-,5,5
"0:01:22,800",FTP20,Exercice,,26,1.74,1.62,19,20,88,-,27.8,29.8,0.93,52.9,2.01,-,2.5,306,3.8,16.6,-,-2,35,-,108,37,1.4,0.8,0.15,0.30,206.6,516,242,-,6,6
"0:01:25,200",FTP20,Exercice,,26,1.79,1.66,20,20,89,-,30.0,32.2,0.93,58.1,2.21,-,2.7,375,3.8,17.0,-,-3,33,-,111,36,1.4,0.9,0.17,0.33,207.2,528,248,-,6,6
"0:01:26,520",FTP20,Exercice,,28,1.88,1.75,21,21,89,-,27.7,29.8,0.93,56.9,2.01,-,2.5,236,3.8,17.0,-,-2,33,-,111,36,1.3,0.9,0.12,0.32,213.5,555,261,-,6,6
"0:01:29,080",FTP20,Exercice,,29,1.77,1.67,19,20,88,-,28.9,30.6,0.94,56.2,1.93,-,2.2,274,3.8,17.0,-,-2,33,-,111,36,1.3,0.8,0.14,0.32,208.7,526,247,-,6,6
"0:01:31,200",FTP20,Exercice,,30,1.76,1.66,19,20,88,-,27.2,28.8,0.94,52.8,1.78,-,2.2,201,3.8,17.0,-,-2,34,-,111,36,1.3,0.8,0.11,0.30,207.7,521,245,-,6,6
"0:01:34,640",FTP20,Exercice,,28,1.65,1.53,18,19,88,-,26.6,28.8,0.92,48.7,1.72,-,2.1,215,3.8,17.0,-,-2,35,-,110,37,1.3,0.8,0.12,0.28,199.9,487,229,-,5,5
"0:01:35,640",FTP20,Exercice,,28,1.58,1.45,17,18,88,-,24.1,26.3,0.91,42.9,1.52,-,2.1,94,3.8,17.0,-,-1,35,-,110,37,1.3,0.8,0.06,0.25,195.0,467,219,-,5,5
"0:01:37,620",FTP20,Exercice,,28,1.58,1.45,17,18,88,-,24.1,26.3,0.91,42.9,1.52,-,2.1,94,3.8,17.0,-,-1,35,-,110,37,1.4,0.8,0.06,0.25,195.0,467,219,-,5,5
"0:01:39,580",FTP20,Exercice,,28,1.58,1.45,17,18,87,-,24.1,26.3,0.91,42.9,1.52,-,2.1,94,3.8,17.0,-,-1,35,-,110,37,1.4,0.8,0.06,0.25,197.2,467,219,-,5,5
"0:01:42,060",FTP20,Exercice,,30,1.43,1.30,16,16,87,-,27.2,30.0,0.90,44.1,1.45,-,2.1,235,3.8,17.0,-,-1,35,-,110,36,1.4,0.7,0.16,0.25,185.0,421,198,-,5,5
"0:01:44,580",FTP20,Exercice,,30,1.43,1.30,16,16,87,-,27.2,30.0,0.90,44.1,1.45,-,1.7,240,3.8,17.0,-,-1,35,-,110,37,1.4,0.6,0.17,0.25,185.0,421,198,-,5,5
"0:01:46,300",FTP20,Exercice,,30,1.42,1.29,16,16,87,-,27.2,30.0,0.90,43.8,1.45,-,2.1,250,3.8,17.0,-,-1,36,-,109,37,1.6,0.6,0.17,0.25,184.4,419,197,-,5,5
"0:01:50,180",FTP20,Exercice,,28,1.54,1.41,17,18,87,-,24.1,26.3,0.92,41.7,1.52,-,2.1,106,3.8,16.5,-,-1,36,-,107,37,1.6,0.6,0.07,0.24,193.5,453,213,-,5,5
"0:01:51,720",FTP20,Exercice,,28,1.54,1.41,17,17,88,-,24.1,26.3,0.92,41.7,1.52,-,2.1,105,4.0,16.5,-,-1,36,-,107,37,1.6,0.6,0.07,0.24,191.4,453,213,-,5,5
"0:01:55,260",FTP20,Exercice,,28,2.12,1.82,23,24,89,-,22.9,26.6,0.86,53.2,1.93,-,2.2,88,3.8,16.5,-,-2,34,-,108,36,1.4,0.6,0.05,0.30,228.4,616,290,-,7,7
"0:01:57,260",FTP20,Exercice,,28,2.27,1.89,25,25,89,-,22.8,27.3,0.83,56.3,2.04,-,1.5,152,4.0,16.4,-,-2,34,-,105,37,1.4,0.6,0.07,0.32,236.9,654,308,-,7,7
"0:01:59,440",FTP20,Exercice,,27,2.24,1.87,25,25,89,-,22.8,27.3,0.84,55.7,2.04,-,1.5,168,4.0,16.2,-,-3,35,-,103,37,1.6,0.6,0.08,0.32,235.6,648,305,-,7,7
"0:02:01,580",FTP20,Exercice,,27,2.24,1.87,25,25,89,-,23.3,27.9,0.84,56.9,2.09,-,1.3,208,4.0,16.2,-,-3,35,-,103,37,1.6,0.7,0.10,0.33,235.6,648,305,-,7,7
"0:02:03,780",FTP20,Exercice,,26,2.14,1.86,23,24,89,-,23.7,27.4,0.87,55.2,2.16,-,2.4,336,4.2,16.1,-,-3,38,-,97,41,2.0,0.7,0.16,0.32,229.8,623,293,-,7,7
"0:02:08,600",FTP20,Exercice,,26,2.16,1.88,24,24,90,-,24.2,27.8,0.87,56.7,2.22,-,2.6,250,4.1,16.2,-,-3,35,-,103,38,2.0,0.7,0.11,0.32,228.2,629,296,-,7,7
"0:02:10,940",FTP20,Exercice,,26,2.16,1.88,24,24,90,-,24.3,27.8,0.87,56.7,2.22,-,2.4,350,4.1,16.2,-,-3,37,-,100,41,2.0,0.7,0.16,0.32,228.0,628,295,-,7,7
"0:02:15,540",FTP20,Exercice,,19,1.61,1.40,18,18,91,-,23.7,27.4,0.87,41.6,2.16,-,2.4,336,4.1,16.2,-,-3,38,-,98,41,2.1,0.7,0.16,0.24,190.7,470,221,-,5,5
"0:02:18,660",FTP20,Exercice,,19,1.61,1.40,18,18,91,-,23.7,27.4,0.87,41.6,2.16,-,2.7,336,4.2,16.1,-,-3,38,-,98,41,2.1,0.6,0.16,0.24,190.7,470,221,-,5,5
"0:02:21,780",FTP20,Exercice,,19,1.62,1.40,18,18,92,-,23.2,27.0,0.86,41.0,2.13,-,2.4,357,4.2,16.0,-,-3,39,-,97,42,2.5,0.5,0.17,0.23,189.2,472,222,-,5,5
"0:02:24,020",FTP20,Exercice,,19,1.72,1.40,19,19,92,-,21.9,27.0,0.81,41.0,2.13,-,2.7,307,4.2,16.0,-,-3,38,-,98,41,2.1,0.5,0.14,0.23,195.9,494,232,-,5,5
"0:02:27,280",FTP20,Exercice,,19,1.80,1.50,20,20,92,-,21.9,26.3,0.83,42.7,2.22,-,3.5,252,4.2,16.0,-,-3,37,-,100,41,2.1,0.6,0.11,0.24,201.5,520,244,-,6,6
"0:02:29,320",FTP20,Exercice,,21,1.93,1.60,21,21,92,-,20.9,25.2,0.83,43.8,2.13,-,3.5,153,4.5,16.1,-,-3,37,-,102,40,1.9,0.6,0.07,0.25,209.5,556,261,-,6,6
"0:02:32,720",FTP20,Exercice,,23,1.87,1.76,21,20,92,-,24.3,25.9,0.94,49.5,2.13,-,2.7,194,4.2,16.3,-,-3,37,-,103,40,1.7,0.9,0.09,0.28,206.2,555,261,-,6,6
"0:02:35,640",FTP20,Exercice,,27,2.13,1.80,23,23,92,-,24.7,29.1,0.85,57.0,2.13,-,2.7,389,4.2,16.3,-,-3,37,-,103,40,1.6,0.8,0.18,0.33,221.4,616,290,-,7,7
"0:02:37,800",FTP20,Exercice,,28,2.21,1.99,24,24,93,-,26.1,29.0,0.90,62.3,2.24,-,3.1,303,4.2,16.3,-,-3,35,-,108,38,1.2,0.8,0.14,0.36,223.7,648,305,-,7,7
"0:02:40,380",FTP20,Exercice,,28,2.03,2.03,22,22,93,-,30.8,30.8,1.00,67.2,2.38,-,2.8,354,4.0,16.8,-,-3,33,-,110,37,1.2,0.9,0.15,0.38,213.3,607,285,-,7,7
"0:02:42,500",FTP20,Exercice,,28,1.99,1.99,22,21,93,-,30.8,30.8,1.00,66.0,2.38,-,2.8,354,3.9,16.9,-,-3,33,-,111,37,1.2,0.9,0.15,0.38,211.1,595,280,-,7,7
"0:02:44,480",FTP20,Exercice,,28,1.91,1.94,21,21,93,-,32.0,31.6,1.01,66.0,2.38,-,2.8,381,3.9,17.1,-,-3,33,-,112,36,1.2,0.9,0.16,0.38,206.5,573,269,-,6,6
"0:02:46,440",FTP20,Exercice,,28,1.92,1.94,21,21,93,-,30.1,29.7,1.01,62.3,2.24,-,2.7,265,3.9,17.1,-,-3,33,-,112,36,1.2,0.9,0.12,0.36,206.5,573,270,-,6,6
"0:02:48,500",FTP20,Exercice,,27,1.82,1.84,20,20,93,-,30.0,29.8,1.01,59.3,2.24,-,2.6,291,3.9,17.1,-,-3,34,-,112,37,1.2,0.9,0.13,0.34,200.8,546,257,-,6,6
"0:02:50,920",FTP20,Exercice,,27,1.83,1.85,20,20,93,-,29.9,29.6,1.01,59.3,2.24,-,2.6,275,3.9,17.1,-,-3,34,-,112,37,1.3,0.9,0.12,0.34,201.2,548,258,-,6,6
"0:02:53,180",FTP20,Exercice,,27,1.82,1.84,20,20,93,-,29.9,29.7,1.01,59.1,2.23,-,2.3,291,3.9,17.1,-,-3,34,-,112,37,1.3,0.9,0.13,0.34,200.8,546,257,-,6,6
"0:02:55,500",FTP20,Exercice,,26,1.76,1.79,19,19,93,-,29.3,28.9,1.01,56.1,2.17,-,2.3,241,3.9,17.1,-,-3,34,-,112,37,1.4,0.9,0.11,0.32,196.9,528,248,-,6,6
"0:02:57,960",FTP20,Exercice,,26,1.76,1.68,19,19,92,-,29.0,30.5,0.95,55.5,2.15,-,2.2,334,3.9,17.0,-,-3,34,-,111,37,1.4,0.9,0.16,0.32,199.0,524,246,-,6,6
"0:03:00,380",FTP20,Exercice,,26,1.78,1.68,20,19,92,-,28.7,30.5,0.94,55.5,2.15,-,2.2,353,4.0,16.8,-,-3,34,-,110,37,1.4,0.9,0.16,0.32,200.2,528,248,-,6,6
"0:03:02,600",FTP20,Exercice,,27,1.81,1.72,20,20,92,-,28.6,30.1,0.95,56.3,2.12,-,2.2,331,4.0,16.8,-,-3,35,-,110,37,1.4,0.9,0.16,0.32,202.0,537,253,-,6,6
"0:03:05,520",FTP20,Exercice,,26,1.85,1.68,20,20,91,-,27.3,30.1,0.91,54.9,2.12,-,2.2,333,4.0,16.8,-,-3,35,-,109,37,1.4,0.9,0.16,0.31,206.6,543,255,-,6,6
"0:03:07,560",FTP20,Exercice,,27,1.83,1.74,20,20,91,-,27.8,29.3,0.95,55.4,2.07,-,2.1,283,4.0,16.8,-,-3,35,-,109,37,1.4,0.9,0.14,0.32,205.3,542,255,-,6,6
"0:03:09,800",FTP20,Exercice,,27,1.91,1.74,21,21,91,-,27.4,30.1,0.91,56.8,2.12,-,2.1,333,4.0,16.8,-,-3,35,-,108,37,1.4,0.8,0.16,0.32,210.8,562,264,-,6,6
"0:03:11,720",FTP20,Exercice,,27,1.84,1.75,20,20,92,-,27.8,29.3,0.95,55.9,2.07,-,2.1,283,4.0,16.8,-,-3,35,-,109,37,1.3,0.8,0.14,0.32,204.1,547,257,-,6,6
"0:03:16,680",FTP20,Exercice,,27,1.91,1.74,21,21,92,-,27.4,30.1,0.91,56.8,2.12,-,2.5,334,4.0,16.7,-,-3,35,-,108,37,1.4,0.8,0.16,0.32,208.5,562,264,-,6,6
"0:03:18,320",FTP20,Exercice,,27,2.03,1.89,22,22,92,-,26.9,28.9,0.93,59.1,2.21,-,2.5,392,4.1,16.7,-,-3,37,-,104,40,1.4,0.7,0.18,0.34,215.9,601,282,-,7,7
"0:03:22,580",FTP20,Exercice,,24,1.85,1.73,20,20,92,-,26.8,28.8,0.93,53.9,2.21,-,2.5,264,4.0,16.7,-,-3,34,-,107,37,1.9,0.7,0.12,0.31,204.9,548,258,-,6,6
"0:03:23,920",FTP20,Exercice,,24,1.57,1.52,17,17,93,-,30.3,31.3,0.97,51.8,2.12,-,2.4,354,3.7,17.1,-,-3,34,-,107,36,1.9,0.6,0.17,0.30,183.6,469,221,-,5,5
"0:03:27,300",FTP20,Exercice,,18,1.39,1.32,15,15,93,-,27.6,29.0,0.95,41.3,2.33,-,2.4,473,4.0,16.7,-,-4,38,-,103,42,2.9,0.5,0.20,0.24,169.6,412,194,-,5,5
"0:03:31,500",FTP20,Exercice,,24,2.38,2.07,26,25,94,-,21.8,25.1,0.87,56.0,2.33,-,2.5,187,4.4,16.3,-,-4,38,-,103,41,1.9,0.5,0.08,0.32,230.3,694,326,-,8,8
"0:03:33,960",FTP20,Exercice,,20,2.43,2.06,27,26,94,-,22.0,26.0,0.85,56.9,2.83,-,2.5,244,4.4,16.3,-,-5,37,-,103,41,1.9,0.5,0.09,0.32,232.8,704,331,-,8,8
"0:03:36,120",FTP20,Exercice,,24,2.39,2.07,26,25,94,-,25.3,29.2,0.87,64.6,2.69,-,2.5,257,4.0,16.7,-,-4,33,-,107,37,1.8,0.5,0.10,0.37,230.5,695,327,-,8,8
"0:03:41,780",FTP20,Exercice,,24,2.39,2.07,26,25,94,-,25.3,29.2,0.87,64.6,2.69,-,2.5,257,4.0,16.7,-,-4,33,-,107,37,1.8,0.7,0.10,0.37,230.5,695,327,-,8,8
"0:03:44,280",FTP20,Exercice,,24,2.08,1.98,23,22,94,-,29.6,31.1,0.95,65.6,2.69,-,2.5,368,3.8,17.1,-,-4,33,-,109,36,1.7,0.9,0.14,0.37,214.0,617,290,-,7,7
"0:03:47,260",FTP20,Exercice,,25,2.11,2.03,23,22,94,-,29.8,31.1,0.96,67.3,2.69,-,2.5,369,3.8,17.1,-,-4,33,-,111,36,1.6,0.9,0.14,0.38,215.9,629,296,-,7,7
"0:03:49,380",FTP20,Exercice,,25,2.11,2.03,23,22,94,-,29.8,31.1,0.96,67.3,2.69,-,2.5,373,4.0,17.1,-,-4,33,-,111,36,1.6,0.9,0.14,0.38,215.9,629,296,-,7,7
"0:03:51,580",FTP20,Exercice,,25,2.11,2.03,23,22,94,-,29.9,31.1,0.96,67.3,2.69,-,2.5,394,4.0,16.7,-,-4,33,-,109,37,1.5,0.9,0.15,0.38,215.8,628,295,-,7,7
"0:03:53,620",FTP20,Exercice,,26,2.20,2.11,24,23,94,-,28.3,29.5,0.96,66.7,2.56,-,2.5,281,4.0,16.7,-,-4,33,-,110,37,1.4,0.9,0.11,0.38,220.8,655,308,-,7,7
"0:03:56,020",FTP20,Exercice,,26,2.13,2.04,23,23,94,-,28.4,29.7,0.96,65.0,2.49,-,2.5,294,4.0,16.7,-,-3,33,-,110,37,1.4,0.9,0.12,0.37,217.2,635,299,-,7,7
"0:03:58,920",FTP20,Exercice,,26,2.06,1.99,23,21,97,-,27.9,28.8,0.97,61.9,2.37,-,2.5,263,4.1,16.8,-,-3,34,-,110,37,1.4,0.9,0.11,0.35,206.4,615,289,-,7,7
"0:04:01,220",FTP20,Exercice,,26,2.05,1.99,22,21,97,-,27.7,28.5,0.97,61.2,2.35,-,2.4,242,4.1,16.8,-,-3,34,-,110,37,1.4,0.9,0.10,0.35,205.9,612,288,-,7,7
"0:04:03,520",FTP20,Exercice,,26,2.05,1.99,22,21,97,-,27.7,28.6,0.97,61.2,2.35,-,2.4,249,4.1,16.8,-,-3,34,-,110,37,1.4,0.9,0.11,0.35,205.9,612,288,-,7,7
"0:04:06,060",FTP20,Exercice,,26,2.05,1.99,22,21,97,-,27.6,28.5,0.97,61.0,2.34,-,2.4,242,4.1,16.8,-,-3,34,-,110,37,1.4,0.9,0.10,0.35,205.9,612,288,-,7,7
"0:04:08,500",FTP20,Exercice,,26,2.05,1.98,22,21,97,-,27.6,28.5,0.97,61.0,2.34,-,2.3,250,4.1,16.7,-,-3,34,-,110,37,1.4,1.0,0.11,0.35,205.9,612,288,-,7,7
"0:04:10,700",FTP20,Exercice,,26,2.06,1.98,23,22,95,-,27.4,28.5,0.96,61.0,2.34,-,2.3,250,4.1,16.7,-,-3,34,-,110,37,1.4,0.9,0.11,0.35,210.8,614,289,-,7,7
"0:04:12,920",FTP20,Exercice,,26,2.07,1.96,23,22,93,-,27.0,28.6,0.95,60.4,2.30,-,2.4,255,4.1,16.7,-,-3,34,-,110,37,1.4,0.9,0.11,0.35,215.8,614,289,-,7,7
"0:04:15,200",FTP20,Exercice,,26,2.07,1.96,23,22,93,-,27.0,28.6,0.95,60.4,2.30,-,2.4,273,4.0,16.7,-,-3,35,-,109,38,1.5,0.9,0.12,0.35,215.8,614,289,-,7,7
"0:04:21,960",FTP20,Exercice,,26,2.08,1.96,23,22,93,-,27.9,29.6,0.94,62.5,2.37,-,2.6,352,4.0,16.7,-,-3,35,-,108,38,1.5,0.9,0.15,0.36,216.3,616,290,-,7,7
"0:04:24,000",FTP20,Exercice,,26,2.12,1.96,23,23,92,-,27.9,30.1,0.92,63.5,2.41,-,2.7,385,4.0,16.7,-,-3,35,-,108,38,1.5,0.9,0.16,0.36,220.9,625,294,-,7,7
"0:04:26,060",FTP20,Exercice,,26,2.12,1.96,23,23,92,-,27.9,30.1,0.92,63.5,2.41,-,2.9,385,4.0,16.7,-,-3,35,-,108,38,1.5,0.9,0.16,0.36,220.9,625,294,-,7,7
"0:04:28,940",FTP20,Exercice,,26,2.12,1.81,23,23,92,-,24.9,29.0,0.86,57.1,2.17,-,2.9,303,4.0,16.7,-,-3,35,-,108,38,1.5,0.9,0.14,0.33,220.9,615,289,-,7,7
"0:04:32,820",FTP20,Exercice,,23,1.89,1.70,21,20,93,-,26.6,29.5,0.90,54.1,2.31,-,2.9,360,4.0,16.7,-,-3,35,-,108,38,1.5,0.9,0.16,0.31,204.7,553,260,-,6,6
"0:04:35,840",FTP20,Exercice,,29,2.17,2.01,24,23,93,-,26.9,29.0,0.93,63.2,2.17,-,2.9,303,4.0,16.9,-,-3,35,-,108,38,1.5,0.9,0.14,0.36,221.2,640,301,-,7,7
"0:04:37,540",FTP20,Exercice,,28,1.92,1.85,21,21,93,-,28.2,29.3,0.96,59.1,2.09,-,2.7,293,4.0,16.9,-,-3,35,-,110,37,1.5,0.9,0.14,0.34,207.0,573,269,-,6,6
"0:04:39,420",FTP20,Exercice,,23,1.59,1.53,17,17,93,-,28.2,29.3,0.96,48.9,2.09,-,2.5,293,4.0,16.9,-,-3,35,-,110,37,1.3,0.9,0.14,0.28,185.0,474,223,-,5,5
"0:04:41,980",FTP20,Exercice,,23,1.59,1.53,17,17,93,-,28.2,29.3,0.96,48.9,2.09,-,2.5,293,4.0,16.9,-,-3,35,-,110,37,1.3,0.9,0.14,0.28,185.0,474,223,-,5,5
"0:04:44,040",FTP20,Exercice,,28,1.90,1.82,21,20,93,-,27.9,29.2,0.96,57.9,2.07,-,2.5,289,4.0,16.9,-,-3,35,-,110,37,1.3,0.9,0.14,0.33,205.9,566,266,-,6,6
"0:04:46,160",FTP20,Exercice,,28,1.90,1.82,21,20,93,-,27.9,29.2,0.96,57.9,2.07,-,2.5,338,4.0,16.9,-,-3,36,-,108,39,1.3,0.9,0.16,0.33,205.8,566,266,-,6,6
"0:04:48,820",FTP20,Exercice,,23,1.64,1.53,18,18,93,-,27.3,29.3,0.93,48.9,2.09,-,2.5,344,4.0,16.9,-,-3,36,-,108,39,1.3,0.9,0.16,0.28,188.6,486,229,-,5,5
"0:04:52,640",FTP20,Exercice,,23,1.74,1.69,19,19,93,-,25.8,26.6,0.97,48.9,2.09,-,2.5,186,4.3,16.4,-,-3,36,-,107,39,1.5,0.9,0.09,0.28,195.3,520,244,-,6,6
"0:04:54,780",FTP20,Exercice,,23,1.76,1.65,19,19,93,-,24.9,26.7,0.94,47.8,2.09,-,2.4,206,4.3,16.4,-,-3,36,-,107,39,1.5,0.9,0.10,0.27,196.7,521,245,-,6,6
"0:04:57,700",FTP20,Exercice,,23,1.76,1.65,19,19,93,-,24.9,26.7,0.94,47.8,2.09,-,2.4,207,4.3,16.4,-,-3,36,-,107,39,1.5,0.9,0.10,0.27,196.7,521,245,-,6,6
"0:05:00,260",FTP20,Exercice,,23,1.76,1.65,19,19,92,-,24.9,26.6,0.94,47.7,2.08,-,2.4,201,4.3,16.4,-,-3,36,-,107,39,1.5,0.9,0.10,0.27,198.8,521,245,-,6,6
"0:05:02,980",FTP20,Exercice,,23,1.77,1.65,19,19,92,-,25.9,27.8,0.93,49.7,2.17,-,2.5,260,4.2,16.5,-,-3,36,-,107,39,1.6,0.9,0.12,0.28,199.2,523,246,-,6,6
"0:05:05,600",FTP20,Exercice,,23,1.80,1.69,20,20,91,-,24.9,26.6,0.94,48.8,2.08,-,2.5,176,4.2,16.6,-,-3,36,-,107,38,1.5,0.9,0.08,0.28,203.8,533,251,-,6,6
